"";"рейс";"расписание";"ожидаемое.время";"статус";"Авиакомпания";"Номер.рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"87";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-21 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"88";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-21 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"89";"U6 2631 Ростов-на-Дону — ЕреванAirbus A319";"2018-05-21 13:00:00";NA;"ожидается";" Уральские авиалинии";"U6 2631";"Ереван";"Airbus A319";"44.5125849";"40.1776121";3
"90";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-21 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"91";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-21 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"92";"YC 356 Минеральные Воды — ЧелябинскCanadair regional jet";"2018-05-21 14:30:00";NA;"ожидается";" Ямал";"YC 356";"Челябинск";"Canadair regional jet";"61.4025547";"55.1598408";2
"93";"N4 188 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-21 15:20:00";NA;"ожидается";" Nordwind Airlines";"N4 188";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"94";"U6 7077 Ростов-на-Дону — БолоньяAirbus А320";"2018-05-21 15:55:00";NA;"ожидается";" Уральские авиалинии";"U6 7077";"Болонья";"Airbus A320";"11.3430347";"44.4936714";1
"95";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-21 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"96";"S7 1156 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-21 16:10:00";NA;"ожидается";" S7 Airlines";"S7 1156";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"97";"SU 1157 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-21 16:20:00";NA;"ожидается";" Аэрофлот";"SU 1157";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"98";"SU 6104 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-21 17:45:00";NA;"ожидается";" Россия";"SU 6104";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"99";"SU 1155 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-21 18:25:00";NA;"ожидается";" Аэрофлот";"SU 1155";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"100";"U6 142 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-21 19:00:00";NA;"ожидается";" Уральские авиалинии";"U6 142";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"101";"DP 522 Ростов-на-Дону — Санкт-ПетербургBoeing 737-800";"2018-05-21 19:20:00";NA;"ожидается";" Победа";"DP 522";"Санкт-Петербург";"Boeing 737-800";"30.316229";"59.938732";22
"102";"A4 223 Ростов-на-Дону — СочиСухой Суперджет 100";"2018-05-21 19:35:00";NA;"ожидается";" Азимут";"A4 223";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";5
"103";"SU 1161 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-21 20:05:00";NA;"ожидается";" Аэрофлот";"SU 1161";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"104";"UT 494 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-21 20:40:00";NA;"ожидается";" ЮТэйр";"UT 494";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"105";"S7 1152 Ростов-на-Дону — Москва (Домодедово)Airbus A319";"2018-05-21 20:50:00";NA;"ожидается";" S7 Airlines";"S7 1152";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"106";"DP 106 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-21 21:00:00";NA;"ожидается";" Победа";"DP 106";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"107";"SU 6272 Ростов-на-Дону — Санкт-ПетербургAirbus A319";"2018-05-21 21:30:00";NA;"ожидается";" Россия";"SU 6272";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";22
"108";"DP 562 Ростов-на-Дону — ЕкатеринбургBoeing 737-800";"2018-05-22 00:50:00";NA;"ожидается";" Победа";"DP 562";"Екатеринбург";"Boeing 737-800";"60.60825";"56.839104";3
"109";"A4 221 Ростов-на-Дону — УфаСухой Суперджет 100";"2018-05-22 01:10:00";NA;"ожидается";" Азимут";"A4 221";"Уфа";"Сухой Суперджет 100";"55.947727";"54.726288";2
"110";"SU 1167 Ростов-на-Дону — Москва (Шереметьево)Airbus А320";"2018-05-22 02:55:00";NA;"ожидается";" Аэрофлот";"SU 1167";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"111";"B2 936 Ростов-на-Дону — МинскEmbraer EMB 175";"2018-05-22 03:15:00";NA;"ожидается";" Белавиа";"B2 936";"Минск";"Embraer EMB 175";"93.3343983";"57.099061";4
"112";"TK 294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-22 04:10:00";NA;"ожидается";" Turkish Airlines";"TK 294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"113";"UT 4294 Ростов-на-Дону — СтамбулAirbus A319";"2018-05-22 04:10:00";NA;"ожидается";" ЮТэйр";"UT 4294";"Стамбул";"Airbus A319";"28.9651646";"41.0096334";12
"114";"SU 1165 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-22 05:50:00";NA;"ожидается";" Аэрофлот";"SU 1165";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"115";"UT 498 Ростов-на-Дону — Москва (Внуково)Boeing 737-500";"2018-05-22 06:35:00";NA;"ожидается";" ЮТэйр";"UT 498";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";134
"116";"SU 6102 Ростов-на-Дону — Москва (Внуково)Airbus A319";"2018-05-22 07:00:00";NA;"ожидается";" Россия";"SU 6102";"Москва";"Airbus A319";"37.6176606";"55.7507178";134
"117";"DP 108 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-22 07:10:00";NA;"ожидается";" Победа";"DP 108";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"118";"A4 201 Ростов-на-Дону — Москва (Внуково)Сухой Суперджет 100";"2018-05-22 07:30:00";NA;"ожидается";" Азимут";"A4 201";"Москва";"Сухой Суперджет 100";"37.6176606";"55.7507178";134
"119";"A4 203 Ростов-на-Дону — Санкт-ПетербургСухой Суперджет 100";"2018-05-22 08:00:00";NA;"ожидается";" Азимут";"A4 203";"Санкт-Петербург";"Сухой Суперджет 100";"30.316229";"59.938732";22
"120";"A4 217 Ростов-на-Дону — Нижний НовгородСухой Суперджет 100";"2018-05-22 08:20:00";NA;"ожидается";" Азимут";"A4 217";"Нижний Новгород";"Сухой Суперджет 100";"44.003506";"56.328571";3
"121";"8Q 876 Ростов-на-Дону — АнтальяAirbus А321";"2018-05-22 09:20:00";NA;"ожидается";" Onur Air";"8Q 876";"Анталья";"Airbus А321";"30.6954846";"36.9009641";7
"122";"SU 1159 Ростов-на-Дону — Москва (Шереметьево)Boeing 737-800";"2018-05-22 10:30:00";NA;"ожидается";" Аэрофлот";"SU 1159";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
"123";"DP 853 Ростов-на-Дону — ТбилисиBoeing 737-800";"2018-05-22 11:35:00";NA;"ожидается";" Победа";"DP 853";"Тбилиси";"Boeing 737-800";"44.8015019";"41.6935247";7
"124";"SU 1163 Ростов-на-Дону — Москва (Шереметьево)Airbus A320";"2018-05-22 12:00:00";NA;"ожидается";" Аэрофлот";"SU 1163";"Москва";"Airbus A320";"37.6176606";"55.7507178";134
"125";"N4 1681 Ростов-на-Дону — ИраклионBoeing 737-800";"2018-05-22 12:45:00";NA;"ожидается";" Nordwind Airlines";"N4 1681";"Ираклион";"Boeing 737-800";"25.1328543";"35.3340134";1
"126";"U6 2631 Ростов-на-Дону — ЕреванAirbus A319";"2018-05-22 13:00:00";NA;"ожидается";" Уральские авиалинии";"U6 2631";"Ереван";"Airbus A319";"44.5125849";"40.1776121";3
"127";"SU 6833 Ростов-на-Дону — СимферопольAirbus A319";"2018-05-22 13:10:00";NA;"ожидается";" Россия";"SU 6833";"Симферополь";"Airbus A319";"34.1024858";"44.9521457";7
"128";"UT 368 Ростов-на-Дону — Москва (Внуково)Boeing 737-400";"2018-05-22 13:45:00";NA;"ожидается";" ЮТэйр";"UT 368";"Москва";"Boeing 737-400";"37.6176606";"55.7507178";134
"129";"YC 866 Ростов-на-Дону — ТюменьCanadair regional jet";"2018-05-22 14:10:00";NA;"ожидается";" Ямал";"YC 866";"Тюмень";"Canadair regional jet";"65.542274";"57.153534";4
"130";"DP 104 Ростов-на-Дону — Москва (Внуково)Boeing 737-800";"2018-05-22 16:05:00";NA;"ожидается";" Победа";"DP 104";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";134
