"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"414";"S7 166 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-26 17:00:00;" ";"ожидается";" S7 Airlines";"S7 166";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"424";"SU 1629 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-26 17:10:00;" ";"ожидается";" Аэрофлот";"SU 1629";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"434";"N4 126 Симферополь — СамараAirbus А321";2018-05-26 17:20:00;" ";"ожидается";" Nordwind Airlines";"N4 126";"Самара";"Airbus А321";"50.113987";"53.198627";5
"444";"SU 1625 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-26 18:45:00;" ";"ожидается";" Аэрофлот";"SU 1625";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"454";"N4 134 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-26 19:45:00;" ";"ожидается";" Nordwind Airlines";"N4 134";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"464";"5N 6308 Симферополь — Москва (Домодедово)Airbus А321";2018-05-26 20:15:00;" ";"ожидается";" Нордавиа";"5N 6308";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"474";"WZ 308 Симферополь — Москва (Домодедово)Airbus А321";2018-05-26 20:15:00;" ";"ожидается";" Red Wings";"WZ 308";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"483";"U6 2842 Симферополь — Москва (Домодедово)Airbus А321";2018-05-26 20:35:00;" ";"ожидается";" Уральские авиалинии";"U6 2842";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"492";"SU 1659 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-26 21:00:00;" ";"ожидается";" Аэрофлот";"SU 1659";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"502";"S7 162 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-26 21:45:00;" ";"ожидается";" S7 Airlines";"S7 162";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"512";"SU 6896 Симферополь — Санкт-ПетербургBoeing 747-400";2018-05-26 22:15:00;" ";"ожидается";" Россия";"SU 6896";"Санкт-Петербург";"Boeing 747-400";"30.316229";"59.938732";44
"521";"SU 6864 Симферополь — ЧелябинскBoeing 737-800";2018-05-26 23:50:00;" ";"ожидается";" Россия";"SU 6864";"Челябинск";"Boeing 737-800";"61.4025547";"55.1598408";2
"85";"SU 1627 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-27 02:25:00;" ";"ожидается";" Аэрофлот";"SU 1627";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"95";"N4 634 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-27 03:30:00;" ";"ожидается";" Nordwind Airlines";"N4 634";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"105";"SU 6898 Симферополь — Санкт-ПетербургAirbus A319";2018-05-27 07:05:00;" ";"ожидается";" Россия";"SU 6898";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"115";"S7 264 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 08:40:00;" ";"ожидается";" S7 Airlines";"S7 264";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"125";"N4 124 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-27 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"135";"SU 6836 Симферополь — КраснодарBoeing 737-800";2018-05-27 09:25:00;" ";"ожидается";" Россия";"SU 6836";"Краснодар";"Boeing 737-800";"38.9757116";"45.0354329";2
"145";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-27 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"155";"S7 268 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 09:35:00;" ";"ожидается";" S7 Airlines";"S7 268";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"165";"U6 526 Симферополь — Москва (Домодедово)Airbus А321";2018-05-27 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"175";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-27 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"185";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"195";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-27 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"205";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-27 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"215";"U6 440 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-27 12:05:00;" ";"ожидается";" Уральские авиалинии";"U6 440";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"225";"S7 164 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-27 12:20:00;" ";"ожидается";" S7 Airlines";"S7 164";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"235";"S7 3328 Симферополь — НовосибирскBoeing 737-800";2018-05-27 12:40:00;" ";"ожидается";" S7 Airlines";"S7 3328";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
